rank,name,industry,location,year_founded,career_url
85,TIFIN,Finance,"Boulder, Colorado",2018,https://tifin.com/careers/
86,acceldata,Business Products & Software Services,"Campbell, California",2018,https://www.acceldata.io/company/careers
87,Collective,Professional Services,"San Francisco, California",2020,https://www.collective.com/careers
88,Flock Safety,Security,"Atlanta, Georgia",2017,https://www.flocksafety.com/careers
89,GrowthSpace,Education & EdTech,"New York, New York",2018,https://www.growthspace.com/careers
90,Neuralink,Healthcare,"Fremont, California",2016,https://neuralink.com/careers/
91,Fireblocks,Finance,"New York, New York",2018,https://www.fireblocks.com/careers/
92,Avenue Z,Advertising & Marketing,"Miami, Florida",2023,https://avenuez.com/careers
93,Hyperproof,Security,"Seattle, Washington",2018,https://hyperproof.io/company/careers/
94,Spotnana Technology,Business Products & Software Services,"New York, New York",2020,https://www.spotnana.com/careers/
95,Maze,Business Products & Software Services,"San Francisco, California",2018,https://maze.co/careers/
96,RevenueCat,Business Products & Software Services,"Brandon, Florida",2017,https://www.revenuecat.com/careers/
97,Spin.AI,Security,"Palo Alto, California",2016,https://spin.ai/careers/
98,Interplay Learning,Education & EdTech,"Austin, Texas",2016,https://interplaylearning.com/careers/
99,Athletic Brewing,Retail,"Milford, Connecticut",2017,https://athleticbrewing.com/pages/careers
100,Wing Assistant,Business Products & Software Services,"Berkeley, California",2018,https://www.wingassistant.com/careers/
101,Hedera Hashgraph,Technology,"Las Vegas, Nevada",2018,https://hedera.com/careers
102,Neostella,Business Products & Software Services,"Milwaukee, Wisconsin",2019,https://neostella.com/careers/
103,Owner,Technology,"San Francisco, California",2018,https://www.owner.com/careers
104,1Kosmos,Security,"Iselin, New Jersey",2018,https://www.1kosmos.com/company/careers/
105,Solugen,Manufacturing,"Houston, Texas",2016,https://solugen.com/careers/
106,SiMa.ai,Technology,"San Jose, California",2018,https://sima.ai/careers/
107,Abnormal AI,Security,"Las Vegas, Nevada",2018,https://abnormalsecurity.com/careers
108,Fathom,Technology,"San Francisco, California",2020,https://fathom.video/careers
109,Remote,Business Products & Software Services,"San Francisco, California",2019,https://remote.com/careers
110,FileCloud,Business Products & Software Services,"Austin, Texas",2016,https://www.filecloud.com/careers/
111,Coursedog,Education & EdTech,"New York, New York",2018,https://www.coursedog.com/careers
112,Cube,Business Products & Software Services,"New York, New York",2018,https://www.cube.dev/careers
113,Plus,Technology,"Santa Clara, California",2016,https://plus.ai/careers/
114,Lemon Perfect,Lifestyle & Health,"Atlanta, Georgia",2017,https://www.lemonperfect.com/pages/careers
115,NovaKid,Education & EdTech,"San Francisco, California",2017,https://novakid.com/careers/
116,VIZ.AI,Healthcare,"San Francisco, California",2016,https://www.viz.ai/careers
117,DoorLoop,Real Estate,"Miami, Florida",2019,https://www.doorloop.com/careers
118,Dandy,Healthcare,"New York, New York",2020,https://www.meetdandy.com/careers/
119,Andor Health,Technology,"Orlando, Florida",2018,https://andorhealth.com/careers/
120,Rare Carat,Retail,"New York, New York",2016,https://www.rarecarat.com/careers
121,SpyCloud,Security,"Austin, Texas",2016,https://spycloud.com/careers/
122,HypeAuditor,Advertising & Marketing,"Indianapolis, Indiana",2018,https://hypeauditor.com/en/careers/
123,Thyme Care,Healthcare,"Nashville, Tennessee",2020,https://thymecare.com/careers/
124,FalconX,Finance,"San Mateo, California",2018,https://falconx.io/careers/
125,TekRevol,Business Products & Software Services,"Houston, Texas",2018,https://tekrevol.com/careers/
126,Gatik,Transportation & Logistics,"Mountain View, California",2017,https://gatik.ai/careers/
127,Ollie,Lifestyle & Health,"Reno, Nevada",2016,https://www.myollie.com/careers/
128,Spring Health,Healthcare,"New York, New York",2016,https://springhealth.com/careers/
129,Sidecar Health,Finance,"Manhattan Beach, California",2018,https://sidecarhealth.com/careers
130,Turing AI,Security,"San Mateo, California",2017,https://www.turing.com/careers
131,Assembled,Business Products & Software Services,"San Francisco, California",2018,https://www.assembled.com/careers
132,Coco,Transportation & Logistics,"Santa Monica, California",2020,https://www.cocobots.com/careers
133,Oyster,Business Products & Software Services,"San Francisco, California",2020,https://www.oysterhr.com/careers
134,Modular,Technology,"Los Altos, California",2022,https://www.modular.com/careers
135,SuperAnnotate,Technology,"San Francisco, California",2019,https://www.superannotate.com/careers
136,May Mobility,Transportation & Logistics,"Ann Arbor, Michigan",2017,https://maymobility.com/careers/
137,Alchemy,Business Products & Software Services,"San Francisco, California",2017,https://www.alchemy.com/careers
138,Redwood Materials,Energy & Resources,"Carson City, Nevada",2017,https://www.redwoodmaterials.com/careers
139,Carbon Robotics,Robotics/Engineering,"Seattle, Washington",2018,https://carbonrobotics.com/careers
140,Lively,Lifestyle & Health,"San Francisco, California",2016,https://livelyme.com/careers/
141,Delfi Diagnostics,Healthcare,"Palo Alto, California",2019,https://www.delfi.com/careers/
142,Fireflies.ai,Business Products & Software Services,"Pleasanton, California",2016,https://fireflies.ai/careers
143,Amperity,Business Products & Software Services,"Seattle, Washington",2016,https://amperity.com/careers
144,Drata,Security,"San Francisco, California",2020,https://drata.com/company/careers
145,Overtime,Media & Entertainment,"Brooklyn, New York",2016,https://overtime.tv/careers
146,Upgrade,Finance,"San Francisco, California",2016,https://www.upgrade.com/careers/
147,Spur,Business Products & Software Services,"Huntsville, Alabama",2017,https://www.spur.fit/careers
148,Placer.ai,Technology,"Covina, California",2016,https://www.placer.ai/careers/
149,Syndio,Business Products & Software Services,"Seattle, Washington",2016,https://syndio.com/careers/
150,Alkira,Technology,"San Jose, California",2018,https://alkira.com/careers/
151,SeekOut,Technology,"Bellevue, Washington",2016,https://seekout.com/careers/
152,Coalition,Security,"San Francisco, California",2017,https://www.coalitioninc.com/careers
153,Talkiatry,Healthcare,"New York, New York",2019,https://www.talkiatry.com/careers
154,Embrace,Business Products & Software Services,"Culver City, California",2016,https://embrace.io/careers/
155,Render,Technology,"San Francisco, California",2018,https://render.com/careers
156,Candidly,Finance,"New York, New York",2016,https://www.candidly.com/careers
157,Mill,Lifestyle & Health,"San Bruno, California",2020,https://mill.com/pages/careers
158,Altos Labs,Biotechnology & Agriculture,"Redwood City, California",2021,https://altoslabs.com/careers/
159,Puttshack,Hospitality,"Chicago, Illinois",2017,https://www.puttshack.com/careers/
160,Cherre,Real Estate,"New York, New York",2016,https://cherre.com/careers/
161,Tigera,Security,"San Francisco, California",2016,https://www.tigera.io/careers/
162,Lightmatter,Hardware & Electronics,"Mountain View, California",2017,https://lightmatter.co/careers/
163,Hayden AI,Transportation & Logistics,"San Francisco, California",2019,https://hayden.ai/careers/
164,CyberFOX,Security,"Tampa, Florida",2021,https://cyberfox.com/careers/
165,Lumos,Business Products & Software Services,"San Francisco, California",2020,https://www.lumos.com/company/careers
166,qBotica,Business Products & Software Services,"Phoenix, Arizona",2017,https://qbotica.com/careers/
167,Devoted Health,Healthcare,"Waltham, Massachusetts",2017,https://www.devoted.com/careers
168,Xage Security,Security,"Palo Alto, California",2017,https://xage.com/careers/
169,Ava Labs,Finance,"New York, New York",2018,https://www.avalabs.org/careers
170,Jellysmack,Media & Entertainment,"New York, New York",2016,https://jellysmack.com/careers/
171,Astronomer,Technology,"New York, New York",2018,https://www.astronomer.io/careers/
172,Verkada,Security,"San Mateo, California",2016,https://www.verkada.com/careers/
173,Vibe,Business Products & Software Services,"Bellevue , Washington",2016,https://vibeapp.com/careers
174,Parafin,Finance,"San Francisco, California",2020,https://parafin.com/careers/
175,Vendr,Business Products & Software Services,"Boston, Massachusetts",2019,https://www.vendr.com/careers
176,Bond Vet,Healthcare,"New York, New York",2019,https://www.bondvet.com/careers
177,Codvo,Business Products & Software Services,"Plano, Texas",2019,https://www.codvo.ai/careers
178,Trullion,Business Products & Software Services,"New York, New York",2020,https://trullion.com/careers/
179,Opto Investments,Finance,"New York, New York",2020,https://www.opto.com/careers
180,Topsort,Business Products & Software Services,"San Francisco, California",2021,https://www.topsort.com/careers
181,Middesk,Technology,"San Francisco, California",2018,https://www.middesk.com/careers
182,Starburst Data,Technology,"Boston, Massachusetts",2017,https://www.starburst.io/careers/
183,Zilliz,Technology,"Redwood City, California",2017,https://zilliz.com/careers
184,Carbon Direct,Energy & Resources,"New York, New York",2019,https://www.carbon-direct.com/careers
185,Cart.com,Business Products & Software Services,"Houston, Texas",2020,https://www.cart.com/careers
186,AvantStay,Hospitality,"Austin, Texas",2017,https://avantstay.com/careers
187,Halcyon,Security,"San Diego, California",2021,https://www.halcyon.ai/careers
188,ArmorCode,Security,"Palo Alto, California",2020,https://www.armorcode.com/careers
189,Supabase,Technology,"San Francisco, California",2020,https://supabase.com/careers
190,Responsive Financial Technologies,Business Products & Software Services,"Frisco, Texas",2016,https://www.responsive.ai/careers
191,Acadia,Advertising & Marketing,"Atlanta, Georgia",2021,https://www.acadia.io/careers
192,LucidLink,Business Products & Software Services,"San Francisco, California",2016,https://www.lucidlink.com/careers
