rank,name,industry,location,year_founded,career_url
333,Seed Health,Biotechnology & Agriculture,"Venice, California",2016,https://seed.com/careers
334,Vivun,Technology,"Oakland, California",2018,https://vivun.com/careers/
335,Odetta,Business Products & Software Services,"San Francisco, California",2018,https://www.odetta.ai/careers
336,FORT Robotics,Robotics/Engineering,"Philadelphia, Pennsylvania",2018,https://fortrobotics.com/careers/
337,ICON Technology,Robotics/Engineering,"Austin, Texas",2017,https://iconbuild.com/careers
338,Aiper,Hardware & Electronics,"Atlanta, Georgia",2021,https://aiper.com/pages/careers
339,Regal,Business Products & Software Services,"New York, New York",2020,https://regal.io/careers
340,GlossGenius,Finance,"New York, New York",2016,https://glossgenius.com/careers
341,Careerist,Education & EdTech,"Jackson, Wyoming",2019,https://careerist.com/careers
342,Draup,Business Products & Software Services,"The Woodlands, Texas",2017,https://draup.com/careers/
343,EliseAI,Business Products & Software Services,"New York, New York",2017,https://eliseai.com/careers
344,Logiwa,Technology,"Chicago, Illinois",2017,https://www.logiwa.com/careers
345,Within Health,Healthcare,"Austin, Texas",2021,https://withinhealth.com/careers/
346,Kasa Living,Hospitality,"Miami, Florida",2016,https://kasa.com/careers
347,Order,Business Products & Software Services,"New York, New York",2016,https://www.orderinc.com/careers
348,CertiK,Security,"New York, New York",2018,https://www.certik.com/careers
349,Diligent Robotics,Robotics/Engineering,"Austin, Texas",2016,https://www.diligentrobots.com/careers
350,VergeSense,Business Products & Software Services,"Mountain View, California",2017,https://vergesense.com/careers/
351,AiDash,Technology,"Palo Alto, California",2019,https://www.aidash.com/careers/
352,Anchore,Security,"Santa Barbara, California",2016,https://anchore.com/careers/
353,Boast,Business Products & Software Services,"Chicago, Illinois",2017,https://boast.ai/careers/
354,HUNGRY,Hospitality,"Arlington, Virginia",2016,https://www.tryhungry.com/careers
355,Percent,Finance,"New York, New York",2018,https://percent.com/careers
356,Kion,Business Products & Software Services,"Columbia, Maryland",2018,https://kion.io/company/careers/
357,Extend,Technology,"San Francisco, California",2019,https://www.helloextend.com/careers
358,Leap,Retail,"New York, New York",2018,https://www.leaptodigital.com/careers
359,Kin Insurance,Finance,"Chicago, Illinois",2016,https://kin.com/careers/
360,Dispatch,Transportation & Logistics,"Bloomington, Minnesota",2016,https://www.dispatchit.com/careers
361,Terabase Energy,Energy & Resources,"Berkeley, California",2019,https://terabase.energy/careers/
362,Paperflite,Business Products & Software Services,"Wyoming, Delaware",2016,https://www.paperflite.com/careers
363,Bestow,Business Products & Software Services,"Dallas, Texas",2016,https://bestow.com/careers/
364,Sunbit,Finance,"Los Angeles, California",2016,https://sunbit.com/careers/
365,Omdena,Professional Services,"New York, New York",2019,https://omdena.com/careers/
366,AE.Studio,Professional Services,"Marina del Rey, California",2016,https://ae.studio/careers
367,Chief,Professional Services,"New York, New York",2019,https://chief.com/careers
368,Expel,Security,"Herndon, Virginia",2016,https://expel.com/careers/
369,Spekit,Business Products & Software Services,"Denver, Colorado",2018,https://spekit.com/careers/
370,Heirloom,Energy & Resources,"San Francisco, California",2020,https://www.heirloomcarbon.com/careers
371,Sendoso,Advertising & Marketing,"San Francisco, California",2016,https://sendoso.com/careers/
372,Argyle,Business Products & Software Services,"New York, New York",2018,https://argyle.com/us/careers
373,Enable,Business Products & Software Services,"San Francisco, California",2016,https://enable.com/careers
374,Upshift,Business Products & Software Services,"Cincinnati, Ohio",2016,https://upshift.work/careers
375,AiFi,Technology,"San Francisco, California",2016,https://aifi.com/careers/
376,Acely,Education & EdTech,"San Francisco, California",2017,https://acely.com/careers
377,Sonatus,Technology,"Sunnyvale, California",2018,https://sonatus.com/careers/
378,Decimal,Business Products & Software Services,"Indianapolis, Indiana",2020,https://decimal.com/careers
379,Messari,Finance,"New York, New York",2018,https://messari.io/careers
380,Cyware,Security,"Jersey City, New Jersey",2016,https://cyware.com/careers
381,Pryon,Technology,"Raleigh, North Carolina",2017,https://pryon.com/careers/
382,Pathstream,Education & EdTech,"San Francisco, California",2018,https://pathstream.com/careers/
383,Apiiro,Security,"New York, New York",2018,https://apiiro.com/careers/
384,Yugabyte,Technology,"Sunnyvale, California",2016,https://www.yugabyte.com/company/careers/
385,Pipe,Finance,"San Francisco, California",2019,https://pipe.com/careers
386,Wisetack,Finance,"San Francisco, California",2018,https://wisetack.com/careers
387,BrightInsight,Healthcare,"San Jose, California",2017,https://brightinsight.com/careers/
388,All Care Therapies,Healthcare,"Chatsworth, California",2019,https://allcaretherapies.com/careers
389,Appsmith,Business Products & Software Services,"San Francisco, California",2019,https://www.appsmith.com/careers
390,Haystack,Business Products & Software Services,"Los Angeles, California",2018,https://www.haystack.ai/careers
391,Synctera,Finance,"San Francisco, California",2020,https://synctera.com/careers/
392,Relay Payments,Finance,"Atlanta, Georgia",2019,https://relaypayments.com/careers/
393,Modern Treasury,Finance,"San Francisco, California",2018,https://moderntreasury.com/careers
394,Dandelion Energy,Energy & Resources,"Somerville, Massachusetts",2017,https://www.dandelionenergy.com/careers
395,ZEDEDA,Business Products & Software Services,"San Jose, California",2016,https://zededa.com/careers/
396,Zylo,Business Products & Software Services,"Indianapolis, Indiana",2016,https://zylo.com/company/careers/
397,Malbek,Business Products & Software Services,"Princeton, New Jersey",2017,https://malbek.io/careers/
398,Restor3d,Healthcare,"Durham, North Carolina",2017,https://restor3d.com/careers/
399,Rain (California),Finance,"Santa Monica, California",2019,https://rain.com/careers
400,Osso VR,Education & EdTech,"San Francisco, California",2016,https://ossovr.com/careers/
401,Hammerspace,Business Products & Software Services,"Redwood City, California",2018,https://hammerspace.com/careers/
402,Sirona Medical,Healthcare,"San Francisco, California",2018,https://sironamedical.com/careers/
403,OpsMx,Security,"Sunnyvale, California",2017,https://www.opsmx.com/careers/
404,Fundraise Up,Business Products & Software Services,"Brooklyn, New York",2017,https://fundraiseup.com/careers/
405,RenoFi,Finance,"Berwyn, Pennsylvania",2018,https://renofi.com/careers/
406,Cloudperitus,Professional Services,"San Ramon, California",2018,https://cloudperitus.com/careers
407,AKASA,Healthcare,"South San Francisco, California",2018,https://akasa.com/careers/
408,Meitheal Pharmaceuticals,Biotechnology & Agriculture,"Chicago, Illinois",2017,https://meitheal.com/careers/
409,Ontic,Security,"Austin, Texas",2017,https://www.ontic.co/careers
410,CometChat,Communication & Social,"Denver, Colorado",2019,https://www.cometchat.com/company/careers
411,Ossium Health,Biotechnology & Agriculture,"San Francisco, California",2016,https://www.ossiumhealth.com/careers
412,Homebound,Real Estate,"San Francisco, California",2018,https://homebound.com/careers
413,Rho Business Banking,Finance,"New York, New York",2018,https://rho.co/careers
414,Gabb,Business Products & Software Services,"Lehi, Utah",2018,https://gabb.com/careers
415,Jobot,Business Products & Software Services,"Newport Beach, California",2018,https://jobot.com/careers
416,Parallel Domain,Technology,"San Francisco, California",2017,https://paralleldomain.com/careers/
417,Sagent,Technology,"Dallas, Texas",2018,https://sagent.com/careers/
418,A2 Biotherapeutics,Biotechnology & Agriculture,"Agoura Hills, California",2018,https://www.a2biotherapeutics.com/careers
419,FreeWill,Professional Services,"New York, New York",2016,https://freewill.com/careers
420,Certa,Business Products & Software Services,"Saratoga, California",2019,https://www.getcerta.com/careers
421,Dexterity,Robotics/Engineering,"Redwood City, California",2017,https://www.dexterity.ai/careers
422,CoreStack,Technology,"Bellevue, Washington",2016,https://corestack.io/company/careers/
423,Forum Health,Healthcare,"Flint, Michigan",2019,https://forumhealth.com/careers/
424,Crux,Business Products & Software Services,"San Francisco, California",2017,https://crux.com/careers
425,Airspace,Business Products & Software Services,"Carlsbad, California",2016,https://airspace.com/careers
426,Tilt Finance,Finance,"San Francisco, California",2016,https://tilt.finance/careers
427,Kalungi,Business Products & Software Services,"Seattle, Washington",2018,https://kalungi.com/careers
428,Partner Therapeutics,Healthcare,"Lexington, Massachusetts",2017,https://partntx.com/careers
429,Sense,Business Products & Software Services,"San Francisco, California",2016,https://www.sensehq.com/careers
430,Route,Business Products & Software Services,"Lehi, Utah",2018,https://route.com/careers
431,Flockjay,Technology,"Covina, California",2018,https://flockjay.com/careers
432,Gauntlet,Finance,"New York, New York",2018,https://gauntlet.network/careers
433,Material Bank,Finance,"Miami, Florida",2018,https://www.materialbank.com/careers
434,Trust & Will,Real Estate,"San Diego, California",2017,https://trustandwill.com/careers
435,Tekion,Technology,"Pleasanton, California",2016,https://tekion.com/careers
436,Krista Software,Business Products & Software Services,"Dallas, Texas",2016,https://krista.ai/careers/
437,Insite AI,Technology,"Bentonville, Arkansas",2019,https://insiteai.com/careers
438,HqO,Real Estate,"Boston, Massachusetts",2018,https://www.hqo.com/careers
439,Balto,Technology,"St Louis, Missouri",2017,https://www.balto.ai/careers/
440,Pie Insurance,Finance,"Washington, District of Columbia",2017,https://pieinsurance.com/careers/
441,Pixis,Technology,"New York, New York",2020,https://pixis.ai/careers/
442,Capital Rx,Healthcare,"New York, New York",2017,https://capitalrx.com/careers/
443,Bindable,Finance,"Boston, Massachusetts",2018,https://www.bindable.com/careers
444,INCOG BioPharma,Biotechnology & Agriculture,"Fishers , Indiana",2020,https://incogbiopharma.com/careers/
445,Deepen AI,Technology,"San Jose, California",2017,https://deepenai.com/careers
446,Blockdaemon,Finance,"Los Angeles, California",2017,https://blockdaemon.com/careers/
447,EcoFlow Tech,Energy & Resources,"Seattle, Washington",2016,https://www.ecoflow.com/us/careers
448,Privacera,Security,"Newark, California",2016,https://privacera.com/careers/
449,SpecterOps,Security,"Seattle, Washington",2017,https://specterops.io/careers/
450,Bungalow,Real Estate,"Miami, Florida",2016,https://bungalow.com/careers
451,Bolay Enterprises,Hospitality,"West Palm Beach, Florida",2016,https://bolay.com/careers
452,Imubit,Energy & Resources,"Houston , Texas",2016,https://imubit.com/careers/
453,Fortanix,Security,"Mountain View, California",2016,https://fortanix.com/careers
454,Shipwell,Transportation & Logistics,"Austin, Texas",2016,https://shipwell.com/careers/
455,Origin,Finance,"Boston, Massachusetts",2018,https://useorigin.com/careers
456,Tendo,Healthcare,"Philadelphia, Pennsylvania",2020,https://www.tendo.com/careers
457,Inari,Biotechnology & Agriculture,"Cambridge, Massachusetts",2016,https://inari.com/careers
458,Gravy,Finance,"Alpharetta, Georgia",2017,https://joingravy.com/careers
459,Nirvana Insurance,Finance,"San Francisco, California",2021,https://nirvanainsurance.com/careers/
460,Prefect,Technology,"Washington, District of Columbia",2018,https://prefect.io/company/careers/
461,CreditNinja,Finance,"Chicago, Illinois",2017,https://creditninja.com/careers
462,Quo,Technology,"San Francisco, California",2018,https://getquo.com/careers
463,Proper AI,Real Estate,"San Francisco, California",2017,https://www.properai.com/careers
464,SV Academy,Education & EdTech,"San Francisco, California",2017,https://svacademy.com/careers/
465,Talview,Technology,"San Mateo, California",2017,https://www.talview.com/careers
466,Branch Insurance,Finance,"Minneapolis, Minnesota",2017,https://www.ourbranch.com/careers
467,Lightbits,Business Products & Software Services,"San Jose, California",2016,https://lightbitslabs.com/careers/
468,Check Technologies,Business Products & Software Services,"New York, New York",2019,https://checkhq.com/careers
469,IoTeX,Technology,"Menlo Park, California",2017,https://iotex.io/careers
470,Champ,Business Products & Software Services,"Cleveland, Ohio",2018,https://champtitles.com/careers
471,BreachLock,Security,"New York, New York",2019,https://breachlock.com/careers/
472,Syzygy Plasmonics,Hardware & Electronics,"Houston, Texas",2017,https://www.syzygyplasmonics.com/careers
473,KUDO,Business Products & Software Services,"New York, New York",2017,https://kudoway.com/careers/
474,Block Renovation,Real Estate,"Brooklyn, New York",2017,https://www.blockrenovation.com/careers
475,Doxel,Technology,"Menlo Park, California",2016,https://doxel.ai/careers/
476,WorkOS,Business Products & Software Services,"San Francisco, California",2019,https://workos.com/careers
477,Fairmarkit,Business Products & Software Services,"Boston, Massachusetts",2017,https://fairmarkit.com/careers/
478,Forma,Business Products & Software Services,"San Francisco, California",2017,https://forma.ai/careers
479,Codoxo,Healthcare,"Duluth, Georgia",2017,https://www.codoxo.com/careers
480,ElevateBio,Biotechnology & Agriculture,"Waltham, Massachusetts",2017,https://elevatebio.com/careers/
481,CaptivateIQ,Business Products & Software Services,"San Francisco, California",2017,https://www.captivateiq.com/careers
482,SOCRadar,Security,"Newark, Delaware",2018,https://socradar.io/careers/
483,RealWork Labs,Business Products & Software Services,"Austin, Texas",2020,https://realworklabs.com/careers
484,Supportiv,Lifestyle & Health,"Berkeley, California",2018,https://supportiv.com/careers
485,Capsida Biotherapeutics,Biotechnology & Agriculture,"Newbury Park, California",2019,https://capsida.com/careers
486,Axiom Space,Manufacturing,"Houston, Texas",2016,https://axiomspace.com/careers/
487,Tangram Flex,Security,"Dayton, Ohio",2018,https://www.tangramflex.com/careers
488,Influ2,Advertising & Marketing,"New York, New York",2017,https://influ2.com/careers/
489,Guidehealth,Healthcare,"Dallas, Texas",2023,https://guidehealth.com/careers
490,Sweet,Media & Entertainment,"New York, New York",2017,https://sweetanalytics.com/careers
491,Novata,Business Products & Software Services,"New York, New York",2021,https://novata.com/careers
492,GrowthAssistant,Professional Services,"Creve Coeur, Missouri",2021,https://growthassistant.com/careers
493,Obsidian Security,Security,"Newport Beach, California",2017,https://www.obsidiansecurity.com/careers/
494,WAi Technologies,Business Products & Software Services,"Santa Clara, California",2016,https://wai.tech/careers
495,PostPilot,Advertising & Marketing,"New York, New York",2021,https://postpilot.com/careers
496,Solo.io,Technology,"Cambridge, Massachusetts",2017,https://www.solo.io/company/careers/
497,Unit21,Security,"San Francisco, California",2018,https://unit21.ai/careers/
498,Class Technologies,Education & EdTech,"Washington, Washington",2020,https://class.com/careers/
499,Tomo,Finance,"New York, New York",2020,https://tomo.com/careers
500,Versatile,Business Products & Software Services,"Los Altos, California",2016,https://versatile.ai/careers/
